户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,学校,总价,单价
2室2厅1卫,115.0,西北,高,精装修,2010,有 ,商品房,,,板楼,城关,1,179.0,15565.0
2室2厅1卫,70.0,南北,中,精装修,2000,无 ,个人产权,普通住宅,平层,,城关,0,89.0,12714.0
2室2厅1卫,100.0,南,低,精装修,2004,有 ,个人产权,普通住宅,平层,板楼,城关,1,136.0,13600.0
2室2厅1卫,103.96,西南,中,精装修,2002,有 ,商品房,,,板楼,七里河,1,140.0,13467.0
2室1厅1卫,53.0,东南,中,中装修,2002,无 ,商品房,普通住宅,平层,钢混,城关,1,59.0,11132.0
2室1厅1卫,93.08,南北,中,精装修,2003,有 ,商品房,普通住宅,,板楼,七里河,1,112.5,12086.0
2室1厅1卫,70.0,南,高,中装修,2004,无 ,个人产权,普通住宅,平层,砖楼,城关,0,80.0,11429.0
2室2厅1卫,85.0,东西,高,毛坯,2002,无 ,商品房,普通住宅,平层,,城关,1,89.8,10565.0
3室2厅1卫,107.28,南北,低,精装修,2008,有 ,商品房,普通住宅,,板楼,七里河,1,150.0,13982.0
2室2厅1卫,105.63,南北,中,简装修,2007,无 ,个人产权,普通住宅,平层,板楼,城关,0,141.93,13437.0
2室1厅1卫,81.55,南北,高,,,有 ,,,,,城关,0,80.0,9810.0
2室2厅1卫,80.0,南,高,简装修,2006,有 ,商品房,普通住宅,,板楼,城关,1,85.0,10625.0
2室1厅1卫,73.08,东南,中,简装修,2003,有 ,商品房,,,板楼,七里河,1,128.0,17515.0
2室2厅1卫,83.0,南北,低,,1900,无 ,,,,,榆中,0,40.0,4819.0
2室1厅1卫,51.0,南北,高,,,有 ,,,,,安宁,1,49.0,9608.0
3室2厅2卫,125.76,南北,中,简装修,2008,有 ,商品房(免税),普通住宅,平层,板楼,七里河,1,182.0,14472.0
4室2厅2卫,150.0,南北,低,,,无 ,,,,,永登,0,148.0,9867.0
2室1厅1卫,75.0,东,高,简装修,2000,有 ,商品房,,,板楼,城关,1,85.0,11333.0
3室2厅2卫,168.0,南北,中,精装修,2011,有 ,个人产权,普通住宅,平层,板楼,安宁,0,169.0,10060.0
2室2厅1卫,75.0,南,低,精装修,2010,无 ,个人产权,普通住宅,平层,板楼,城关,1,70.0,9333.0
1室0厅1卫,45.0,东西,低,简装修,,无 ,商品房,普通住宅,平层,,城关,1,56.0,12444.0
3室2厅2卫,118.0,南北,低,,,无 ,,,,,安宁,0,115.0,9746.0
2室2厅1卫,101.88,南北,低,精装修,2012,无 ,商品房,普通住宅,,板楼,城关,1,168.0,16490.0
2室1厅1卫,69.7,西南,高,简装修,2002,有 ,商品房,普通住宅,,板楼,七里河,1,84.0,12052.0
2室1厅1卫,93.24,西北,低,精装修,2012,有 ,商品房,,,板楼,安宁,0,126.5,13567.0
2室2厅1卫,111.9,南,高,毛坯,2016,有 ,个人产权,普通住宅,平层,板楼,城关,1,126.0,11260.0
2室2厅1卫,93.28,南北,低,简装修,2004,无 ,商品房,普通住宅,平层,钢混,西固,0,76.0,8148.0
2室2厅1卫,88.32,东西,中,精装修,2012,有 ,商品房,普通住宅,,板楼,七里河,1,104.5,11832.0
3室2厅2卫,113.0,南北,高,精装修,2007,有 ,个人产权,普通住宅,平层,钢混,城关,0,148.0,13097.0
2室1厅1卫,68.0,南,中,精装修,2004,无 ,商品房,普通住宅,平层,板楼,城关,1,88.0,12941.0
1室1厅1卫,60.0,南北,中,简装修,2003,有 ,个人产权,普通住宅,平层,板楼,城关,1,80.0,13333.0
2室2厅1卫,93.0,南,高,,,有 ,,,,,安宁,0,80.0,8602.0
2室2厅1卫,85.83,西南,中,,2005,有 ,商品房,普通住宅,平层,板楼,七里河,1,144.0,16777.0
2室1厅1卫,56.81,南北,高,简装修,,无 ,个人产权,普通住宅,平层,板楼,安宁,0,50.0,8801.0
3室2厅1卫,108.11,南北,中,中装修,2005,无 ,个人产权,普通住宅,平层,塔楼,城关,1,131.0,12117.0
2室1厅1卫,84.34,南,中,精装修,2001,有 ,个人产权,普通住宅,平层,塔楼,七里河,1,106.0,12568.0
