户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,学校,总价,单价
2室2厅1卫,90平米,南,中层,精装修,2008年,无 ,商品房(免税),普通住宅,平层,板楼,城关,1,146, 16222元/平米 
1室1厅1卫,31平米,南,高层,精装修,1998年,无 ,个人产权,普通住宅,平层,板楼,安宁,0,45, 14516元/平米 
3室2厅2卫,110.70平米,南北,低楼层,暂无,,,,,,,榆中,0,57,5149元/平米
2室2厅1卫,106平米,西南,高层,精装修,2010年,有 ,商品房,,,板楼,城关,1,198, 18679元/平米 
2室2厅1卫,97平米,西,高层,精装修,2012年,有 ,商品房,普通住宅,,板楼,城关,1,140, 14433元/平米 
2室2厅1卫,101平米,南北,中层,毛坯,2010年,无 ,个人产权,普通住宅,平层,钢混,城关,1,128, 12673元/平米 
3室2厅2卫,131.00平米,南北,低楼层,暂无,,,,,,,安宁,0,145,11069元/平米
2室1厅1卫,45.62平米,南北,中层,暂无,,无 ,商品房,普通住宅,,塔楼,城关,0,115, 25208元/平米 
3室2厅1卫,110平米,南北,中层,精装修,2009年,有 ,商品房(免税),普通住宅,平层,板楼,城关,1,130, 11818元/平米 
2室2厅1卫,100.8平米,南,中层,精装修,2012年,有 ,商品房,普通住宅,平层,板楼,城关,0,130, 12897元/平米 
2室1厅1卫,80.00平米,南北,中楼层,暂无,,,,,,,城关,0,92,11500元/平米
2室2厅1卫,103平米,南北,中层,精装修,2010年,无 ,个人产权,普通住宅,平层,板楼,城关,1,135, 13107元/平米 
3室2厅1卫,111平米,南北,中层,简装修,2005年,有 ,商品房,,,板楼,城关,1,175, 15766元/平米 
2室2厅1卫,97平米,南北,高层,中装修,,无 ,个人产权,普通住宅,平层,钢混,城关,0,170, 17526元/平米 
2室2厅1卫,82.37平米,南北,中层,精装修,2004年,有 ,商品房,普通住宅,平层,板楼,城关,1,98, 11898元/平米 
2室2厅1卫,73平米,南,高层,精装修,2006年,有 ,个人产权,普通住宅,平层,板楼,安宁,0,96.5, 13219元/平米 
3室2厅1卫,126.45平米,东西,中层,简装修,2000年,有 ,个人产权,普通住宅,平层,钢混,城关,1,152, 12021元/平米 
3室2厅1卫,104.12平米,南,中层,暂无,2014年,无 ,商品房,普通住宅,平层,板楼,安宁,0,140, 13446元/平米 
3室2厅2卫,123.38平米,南北,低楼层,暂无,,,,,,,城关,0,110,8916元/平米
3室2厅2卫,148.00平米,南北,高楼层,暂无,,,,,,,城关,0,130,8784元/平米
2室2厅1卫,67.44平米,东西,高层,精装修,,有 ,个人产权,普通住宅,平层,钢混,城关,1,72, 10676元/平米 
3室2厅1卫,107平米,南北,中层,精装修,2020年,有 ,商品房,普通住宅,,板楼,安宁,0,139, 12991元/平米 
3室2厅2卫,128.72平米,南北,低层,精装修,2013年,有 ,个人产权,普通住宅,平层,板楼,七里河,1,152, 11809元/平米 
3室2厅1卫,107.14平米,南北,低楼层,暂无,,,,,,,安宁,0,109,10174元/平米
2室1厅1卫,74.28平米,南,低层,简装修,2000年,有 ,商品房,,,板楼,城关,0,89, 11982元/平米 
3室1厅1卫,63.00平米,南北,中楼层,暂无,,,,,,,城关区,0,58,9206元/平米
3室2厅1卫,117.00平米,南北,中楼层,暂无,,,,,,,榆中,0,101,8632元/平米
2室2厅1卫,91.16平米,东南,低层,精装修,2001年,有 ,个人产权,普通住宅,平层,钢混,七里河,1,118, 12944元/平米 
1室0厅1卫,45.09平米,南,高层,简装修,2000年,有 ,商品房(免税),普通住宅,平层,板楼,七里河,1,70, 15525元/平米 
3室2厅2卫,176.13平米,东西,中层,简装修,2005年,有 ,商品房,普通住宅,平层,板楼,城关,0,258, 14648元/平米 
3室2厅2卫,117.00平米,南北,低楼层,暂无,,,,,,,榆中,0,69,5897元/平米
